         gene_id  Col0_AWF_NT_R4  ...  Col0_LSW_R3  Counts
1817   AT1G16858               0  ...            0       1
4059   AT1G36730               0  ...            0       1
6544   AT1G64142               0  ...            0       1
6608   AT1G64628               0  ...            0       1
7320   AT1G70782               0  ...            0       1
8204   AT1G78882               0  ...            0       1
10453  AT2G18160               0  ...            0       1
12736  AT2G37478               0  ...            0       1
14012  AT3G01470               0  ...            0       1
15191  AT3G12012               0  ...            0       1
15919  AT3G18000               0  ...            0       1
19526  AT3G53402               0  ...            0       1
20145  AT3G59050               0  ...            0       1
20544  AT3G62422               0  ...            0       1
22813  AT4G14620               0  ...            0       1
23797  AT4G22590               0  ...            0       1
25457  AT4G36988               0  ...            0       1
25897  AT5G01710               0  ...            0       1
26733  AT5G09461               0  ...            0       1
26734  AT5G09462               0  ...            0       1
26735  AT5G09463               0  ...            0       1
30328  AT5G41992               0  ...            0       1
31244  AT5G49448               0  ...            0       1
31601  AT5G52550               0  ...            0       1
31720  AT5G53588               0  ...            0       1
32519  AT5G60550               0  ...            0       1
32594  AT5G61228               0  ...            0       1
32930  AT5G64341               0  ...            0       1
32931  AT5G64342               0  ...            0       1
32932  AT5G64343               0  ...            0       1
32959  AT5G64552               0  ...            0       1

[31 rows x 14 columns]
