	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT1G01010	0	0	0	0	0	2.02909830846328	0.650282457917948	1.37096854921741	1.78312137319167	0	0	0
AT1G01020	0	0	0	2.86315701617387	0	0	1.65526443833659	2.57056602978264	1.61330029003056	0	0	0
AT1G01030	0	0	0	0	0	0	0.177349761250349	0.514113205956529	0	0	0	0
AT1G01040	63.6499128460026	0	0	19.3813705710231	26.4994528033042	24.3491797015594	16.1979448608652	9.25403770721752	28.869584137389	11.667203711769	0	0
AT1G01046	0	0	0	0	0	0	0.1182331741669	0.856855343260881	0	0	0	0
AT1G01050	0	0	0	4.18461410056181	0	6.42547797680039	8.03985584334917	7.71169808934793	6.19846953538058	0	0	0
AT1G01060	0	0	0	7.26801396413368	0	0	10.7001022621044	0	1.44347920686945	0	0	0
AT1G01070	0	0	0	0	0	0	0	0.342742137304352	0.594373791063891	0	0	0
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	0	0	0	10.1311709803075	0	4.39637966833711	8.21720560459952	4.96976099091311	7.47212765908892	11.667203711769	0	0
AT1G01090	0	0	0	35.8995841258724	29.1493980836346	35.1710373466969	19.7449400858722	25.0201760232177	18.7652296893029	21.0009666811843	0	0
AT1G01100	0	0	0	9.69068528551157	13.2497264016521	13.5273220564219	10.640985675021	17.8225911398263	17.8312137319167	0	0	0
AT1G01110	0	0	0	0	0	0	0.177349761250349	0	0.679284332644447	0	0	0
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	35.3610626922236	19.9922674804096	24.3981784081683	18.2801563340332	0	17.5855186733484	18.3852585829529	6.5121006087827	20.2936194377529	0	0	0
AT1G01130	0	0	0	0	0	0.676366102821094	0.413816109584149	0	1.18874758212778	0	0	0
AT1G01140	0	0	0	25.3279274507689	39.7491792049562	14.8800542620641	24.4151504654648	50.554465252392	19.2746929387862	16.3340851964767	0	0
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	0	0	0	6.16679972714373	21.1995622426433	7.44002713103203	3.54699522500699	11.653232668348	9.25524903228059	18.6675259388305	0	0
AT1G01170	0	0	0	4.4048569479598	0	10.483674593727	7.80338949501537	24.6774338859134	12.2271179876	0	0	0
AT1G01180	0	29.9884012206143	0	2.42267132137789	23.8495075229737	6.76366102821094	2.18731372208764	14.7379119040872	4.07570599586668	0	0	0
AT1G01183	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	0	0	0	0.660728542193971	0	0	0	0	0	0	0	0
AT1G01200	0	0	0	0	0	0	0.532049283751048	0	0	0	0	0
AT1G01210	0	0	0	1.98218562658191	0	0	1.182331741669	1.54233961786959	0.934015957386115	0	0	0
AT1G01220	0	0	0	5.94655687974574	0	0	3.25141228958974	3.5987924416957	2.97186895531946	0	0	0
AT1G01225	0	0	0	0.44048569479598	0	0	0.532049283751048	0	0.424552707902779	0	0	0
AT1G01230	0	0	0	8.14898535372564	15.8996716819825	7.10184407962149	5.67519236001118	14.0524276294784	7.1324854927667	0	0	0
AT1G01240	0	0	0	8.14898535372564	15.8996716819825	2.36728135987383	8.63102171418367	19.3649307576959	7.04757495118614	21.0009666811843	0	0
AT1G01250	0	0	0	3.30364271096985	0	0	3.84257816042424	5.31250312821746	0.594373791063891	0	0	0
AT1G01260	0	0	0	5.06558549015377	7.94983584099125	3.72001356551602	5.55695918584428	10.6250062564349	10.9534598638917	0	0	0
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	0	0	0	1.76194277918392	0	2.36728135987383	2.30554689625454	6.5121006087827	3.05677949690001	0	0	0
AT1G01300	28.2888501537789	69.9729361814335	0	21.804041892401	0	13.5273220564219	7.98073925626572	5.82661633417399	10.1892649896667	7.00032222706142	0	0
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0	0.472932696667598	0	0	0	0	0
AT1G01320	127.299825692005	149.942006103072	85.393624428589	115.847737731343	42.3991244852866	65.6075119736461	90.5074948247616	43.3568803690006	79.3913563778198	21.0009666811843	0	0
AT1G01340	0	0	0	1.98218562658191	0	6.42547797680039	1.71438102542004	4.45564778495658	2.97186895531946	7.00032222706142	0	0
AT1G01350	0	0	0	4.6250997953578	0	3.72001356551602	3.72434498625734	1.71371068652176	3.6511532879639	0	0	0
AT1G01355	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01360	0	0	0	3.30364271096985	0	2.36728135987383	5.55695918584428	5.82661633417399	3.73606382954446	0	0	0
AT1G01370	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01380	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01390	0	0	0	2.86315701617387	7.94983584099125	1.01454915423164	3.42876205084009	0.342742137304352	0.254731624741668	0	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	0	0	0	6.8275282693377	0	2.02909830846328	6.32547481792913	2.913308167087	1.52838974845001	7.00032222706142	0	0
AT1G01430	0	59.9768024412287	0	10.1311709803075	21.1995622426433	12.5127729021902	6.68017434042983	7.36895595204358	9.84962282334448	0	0	0
AT1G01440	0	0	0	9.91092813290956	13.2497264016521	8.11639323385313	7.68515632084847	10.7963773250871	10.6138176975695	0	0	0
AT1G01448	0	0	0	3.74412840576583	0	5.0727457711582	1.24144832875245	1.37096854921741	4.33043762060835	0	0	0
AT1G01450	0	0	0	0.44048569479598	0	0	0	0.171371068652176	1.44347920686945	7.00032222706142	0	0
AT1G01453	0	0	0	0	0	0	0	0.685484274608705	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	113.155400615116	129.949738622662	292.778140898019	40.5246839212302	31.799343363965	10.483674593727	30.6815086963104	35.987924416957	12.0572969044389	60.669459301199	0	0
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	0	0	0	0	0	0	0	1.02822641191306	0	0	0	0
AT1G01490	49.5054877691131	59.9768024412287	0	18.7206420288292	29.1493980836346	24.0109966501488	15.0747297062797	59.6371318909573	24.4542359752001	32.6681703929533	0	0
AT1G01500	0	0	0	7.26801396413368	0	4.39637966833711	7.44868997251467	8.22581129530446	4.2455270790278	0	0	0
AT1G01510	0	0	0	7.92874250632765	0	7.10184407962149	5.67519236001118	3.77016351034788	6.96266440960558	0	0	0
AT1G01520	0	0	0	1.76194277918392	0	0	1.3005649158359	0	0	0	0	0
AT1G01530	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540	0	0	0	16.0777278600533	0	20.2909830846328	18.3261419958694	13.5383144235219	25.3033413910057	21.0009666811843	0	0
AT1G01550	0	0	0	41.4056553108222	74.1984678492516	33.1419390382336	37.7754991463244	57.9234212044356	41.2665232081502	56.0025778164914	0	0
AT1G01560	0	0	0	7.26801396413368	7.94983584099125	1.69091525705273	5.79342553417808	2.39919496113047	0.764194874225003	0	0	0
AT1G01570	0	0	0	0	0	0	0.413816109584149	0.514113205956529	0	0	0	0
AT1G01580	0	0	0	0	15.8996716819825	0	0.650282457917948	0	0	0	0	0
AT1G01590	0	0	0	0	0	0	0.413816109584149	0	0	0	0	0
AT1G01600	0	0	0	0.880971389591961	0	0	1.53703126416969	0	0.254731624741668	0	0	0
AT1G01610	0	0	0	24.8874417559729	0	17.923701724759	6.08900846959533	5.65524526552182	3.56624274638335	0	0	0
AT1G01620	0	0	0	20.7028276554111	39.7491792049562	99.0876340632903	22.1096035692102	82.7722261590011	123.79956962445	0	0	0
AT1G01630	0	0	0	13.8752993860734	0	1.01454915423164	14.6609135966955	5.82661633417399	7.98159090857225	32.6681703929533	0	0
AT1G01640	0	0	0	0	0	0	0.650282457917948	4.45564778495658	0.764194874225003	0	0	0
AT1G01650	0	0	0	11.2323852172975	23.8495075229737	11.8364067993691	11.2321515458555	19.3649307576959	14.1800604439528	0	0	0
AT1G01660	0	0	0	0	0	0	0.591165870834498	0.856855343260881	0	0	0	0
AT1G01670	0	0	0	0	0	0	0	1.19959748056523	0	0	0	0
AT1G01680	0	0	0	0	0	0	1.47791467708624	0	0	0	0	0
AT1G01690	0	0	0	1.32145708438794	0	0	1.24144832875245	0	0.509463249483335	0	0	0
AT1G01695	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01700	0	0	0	0	0	1.01454915423164	0.709399045001397	2.05645282382611	1.10383704054723	0	0	0
AT1G01710	0	0	0	5.50607118494976	0	4.39637966833711	7.09399045001398	9.93952198182622	5.85882736905836	0	0	0
AT1G01720	42.4332752306684	0	0	4.6250997953578	15.8996716819825	2.36728135987383	7.62603973376502	13.8810565608263	2.71713733057779	0	0	0
AT1G01725	0	0	0	1.54169993178593	0	0.676366102821094	1.12321515458555	6.5121006087827	2.97186895531946	0	0	0
AT1G01730	0	0	0	7.26801396413368	0	3.72001356551602	4.72932696667598	13.0242012175654	6.36829061854169	0	0	0
AT1G01740	0	0	0	2.2024284739799	7.94983584099125	0	1.77349761250349	3.42742137304352	1.18874758212778	0	0	0
AT1G01750	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01760	0	0	0	1.76194277918392	0	0	0.886748806251747	2.05645282382611	0.849105415805559	0	0	0
AT1G01770	0	0	0	2.64291416877588	0	0	1.41879809000279	6.85484274608705	2.46240570583612	0	0	0
AT1G01780	0	0	0	0	0	1.69091525705273	0.827632219168297	0	1.10383704054723	0	0	0
AT1G01790	0	0	0	41.4056553108222	0	9.13094238808477	45.1059559446722	6.85484274608705	14.6895236934362	0	0	0
AT1G01800	0	0	0	12.5538423016854	23.8495075229737	5.0727457711582	12.4144832875245	21.7641257188264	7.04757495118614	0	0	0
AT1G01810	0	0	0	0	0	0	0.354699522500699	0	0.254731624741668	0	0	0
AT1G01820	0	0	0	7.92874250632765	0	12.5127729021902	8.63102171418367	43.6996225063049	17.2368399408528	14.0006444541228	0	0
AT1G01830	0	0	0	10.3514138277055	7.94983584099125	4.39637966833711	11.7050842425231	14.3951697667828	3.56624274638335	0	0	0
AT1G01840	0	0	0	0	0	0	0.354699522500699	0.342742137304352	0.849105415805559	0	0	0
AT1G01860	0	0	0	1.54169993178593	0	1.69091525705273	1.65526443833659	4.45564778495658	2.63222678899723	0	0	0
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	0	0	0	0	0	0	0	0	0.764194874225003	0	0	0
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	0	0	0	4.18461410056181	0	0	0.827632219168297	0	0	0	0	0
AT1G01910	0	0	0	7.26801396413368	0	11.8364067993691	7.80338949501537	6.34072954013052	10.7836387807306	0	0	0
AT1G01920	0	0	0	0	0	5.0727457711582	2.60112983167179	5.48387419686964	5.94373791063891	0	0	0
AT1G01930	0	0	0	0	0	3.38183051410547	4.01992792167459	1.19959748056523	2.80204787215834	0	0	0
AT1G01940	0	0	0	2.2024284739799	0	0	1.3005649158359	2.22782389247829	1.44347920686945	0	0	0
AT1G01950	0	0	0	3.96437125316382	0	4.73456271974766	9.51777052043542	0	11.2081914886334	11.667203711769	0	0
AT1G01960	0	59.9768024412287	0	45.810512258782	15.8996716819825	39.9056000664445	37.2434498625734	20.393157169609	48.1442770761752	46.6688148470762	0	0
AT1G01970	0	0	0	4.84534264275579	7.94983584099125	3.04364746269492	2.71936300583869	1.19959748056523	2.97186895531946	0	0	0
AT1G01980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01990	0	0	0	2.86315701617387	0	1.35273220564219	3.25141228958974	10.6250062564349	2.1227635395139	9.33376296941523	0	0
AT1G02000	0	0	0	3.74412840576583	0	2.02909830846328	2.48289665750489	1.54233961786959	3.22660058006112	0	0	0
AT1G02010	0	0	0	2.42267132137789	0	0	3.25141228958974	0.856855343260881	1.35856866528889	0	0	0
AT1G02020	21.2166376153342	0	0	8.14898535372564	0	3.04364746269492	1.0640985675021	3.25605030439135	0.764194874225003	7.00032222706142	0	0
AT1G02030	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02040	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02050	0	0	0	4.18461410056181	7.94983584099125	0	0	0.856855343260881	2.37749516425557	0	0	0
